Text 1	Text 2	Text 3	Sound 3	Picture 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
会|huì|0	<size 1.7><center>会</center></size>	<center><font size=6>huì|pouvoir, savoir</font></center>	7e11029be816a0c471523b60c0a9e4f7.m4a				0		会	<font size=12>会</font> (huì)|
你|nǐ|0	<size 1.7><center>你</center></size>	<center><font size=6>nǐ|tu, toi</font></center>	bb8ed0ba847988a18752262f61e13223.m4a				0		你	<font size=12>你</font> (nǐ)|Mots associés :|你们 [nǐmen] vous [pluriel]|你好 [nǐhǎo] bonjour
你们|nǐmen|0	<size 1.7><center>你们</center></size>	<font size=5>nǐmen|vous [pluriel]</font>|<font size=4><i>« &#86;&#111;&#117;&#108;&#101;&#122;-&#118;&#111;&#117;&#115; [&#112;&#108;&#117;&#114;.] &#117;&#110; &#103;&#226;&#116;&#101;&#97;&#117; &#100;&#101; &#108;&#117;&#110;&#101;? »</i></font>	5a9b2d7ae1ee031ad6f2ee4b3e6c4bf7.m4a		|<font size=9><color yellow>&#20320;&#20204;</color>&#35201;&#26376;&#39292;&#21527;？</font>	d45af37d9b3d58cb2867db1eb19a27d8.m4a	1		你们	<font size=12>你们</font> (nǐmen)||Mots associés :|你　 [nǐ] tu, toi|你好 [nǐhǎo] bonjour|我们 [wǒmen] nous|们　 [men] [suffixé à certains m…
你好|nǐhǎo|0	<size 1.7><center>你好</center></size>	<center><font size=6>nǐhǎo|bonjour</font></center>	5acb47b87916e61ec5f1d72463a22d6b.m4a				0		你好	<font size=12>你好</font> (nǐhǎo)||Mots associés :|你　　 [nǐ] tu, toi|你们　 [nǐmen] vous [pluriel]|好　　 [hǎo] bien, bon|大家好 [dàjiā hǎo] bonjour tout l…|好吃　 [hǎochī] bon à manger
先生|xiānsheng|0	<size 1.7><center>先生</center></size>	<center><font size=6>xiānsheng|monsieur</font></center>	0ad584171521ad6ec7dbce5e358c2d8b.m4a				0		先生	<font size=12>先生</font> (xiānsheng)||
八|bā|0	<size 1.7><center>八</center></size>	<font size=5>bā|(clé 12)</font>|<font size=4><i>« 8 &#111;&#99;&#116;&#111;&#98;&#114;&#101;. »</i></font>	3b52cd47c585461ebdd3d42342fcd88d.m4a	pic-hand8.jpg	|<font size=9>&#21313;&#26376;<color yellow>&#20843;</color>&#26085;</font>	32d22c227545b1f3ad366742683f5c47.m4a	1		八	<font size=12>八</font> (bā)|
六|liù|0	<size 1.7><center>六</center></size>	<center><font size=6>liù|</font></center>	080327981402a9c39ba4f1f86227374b.m4a	pic-hand6.jpg			0		六	<font size=12>六</font> (liù)|
十|shí|0	<size 1.7><center>十</center></size>	<font size=5>shí|(clé 24)</font>|<font size=4><i>« 8 &#111;&#99;&#116;&#111;&#98;&#114;&#101;. »</i></font>	9fc4642cde210842bd0f308e24448775.m4a	pic-hand10.jpg	|<font size=9><color yellow>&#21313;</color>&#26376;&#20843;&#26085;</font>	32d22c227545b1f3ad366742683f5c47.m4a	1		十	<font size=12>十</font> (shí)|Mots associés :|十月 [shíyuè] octobre
十月|shíyuè|0	<size 1.7><center>十月</center></size>	<font size=5>shíyuè|octobre</font>|<font size=4><i>« 8 &#111;&#99;&#116;&#111;&#98;&#114;&#101;. »</i></font>	40430ae94ddc022adf1f8b2b4c206010.m4a		|<font size=9><color yellow>&#21313;&#26376;</color>&#20843;&#26085;</font>	32d22c227545b1f3ad366742683f5c47.m4a	1		十月	<font size=12>十月</font> (shíyuè)||Mots associés :|十　 [shí] (clé 24)|月饼 [yuèbǐng] gâteau de lune|月　 [yuè] lune
去|qù|0	<size 1.7><center>去</center></size>	<center><font size=6>qù|aller (mouvement)</font></center>	73b415b5ddd53a24a5e553bb45c8e97e.m4a				0		去	<font size=12>去</font> (qù)|
叫|jiào|0	||<center><font size=9>叫</font></center>|<font size=4>▸ ...<color gray>|▸ &#115;'&#97;&#112;&#112;&#101;&#108;&#101;&#114;|<i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; &#224; &#116;&#111;&#117;&#115;, &#106;&#101; &#109;'&#97;&#112;&#112;&#101;&#108;&#108;&#101; &#90;&#104;&#257;&#110;&#103; &#77;&#283;&#105;&#104;&#117;&#236;. »</i></font></color>	<center><font size=6>jiào|crier</font></center>	ea5a1b74a047bfbb5cd63ca59fb4f38b.m4a				0		叫	<font size=12>叫</font> (jiào)|Mots associés :|叫 [jiào] s'appeler
叫|jiào|1	||<center><font size=9>叫</font></center>|<font size=4>▸ ...<color gray>|▸ &#99;&#114;&#105;&#101;&#114;</font></color>	<font size=5>jiào|s'appeler</font>|<font size=4><i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; &#224; &#116;&#111;&#117;&#115;, &#106;&#101; &#109;'&#97;&#112;&#112;&#101;&#108;&#108;&#101; &#90;&#104;&#257;&#110;&#103; &#77;&#283;&#105;&#104;&#117;&#236;. »</i></font>	ea5a1b74a047bfbb5cd63ca59fb4f38b.m4a		|<font size=9>&#22823;&#23478;&#22909;，&#25105;<color yellow>&#21483;</color>&#24352;&#32654;&#24935;。</font>	5cbc41941040238fcd7e1f49afb9b067.m4a	1		叫	<font size=12>叫</font> (jiào)|Mots associés :|叫 [jiào] crier
吃|chī|0	<size 1.7><center>吃</center></size>	<font size=5>chī|manger [suivi d'un complément]</font>|<font size=4><i>« &#86;&#101;&#117;&#105;&#108;&#108;&#101;&#122; &#109;&#97;&#110;&#103;&#101;&#114; &#117;&#110; &#103;&#226;&#116;&#101;&#97;&#117; &#100;&#101; &#108;&#117;&#110;&#101;. »</i></font>	2d570a4af5bd770844440b958f3e6905.m4a		|<font size=9>&#35831;&#20320;<color yellow>&#21507;</color>&#26376;&#39292;。</font>	17c361cfddeb0ef373f0130e2658a38b.m4a	1		吃	<font size=12>吃</font> (chī)|Mots associés :|好吃 [hǎochī] bon à manger
